,FREQ,REF_AREA,SEX,AGE,EDU_LEV_HIGHEST,TIME_PERIOD,OBS_VALUE
0,A,IT,1,Y15-24,99,2023,194.616
1,A,IT,1,Y15-24,99,2024,171.655
2,A,IT,1,Y15-29,99,2023,331.844
3,A,IT,1,Y15-29,99,2024,290.242
4,A,IT,1,Y15-34,11,2023,54.34
5,A,IT,1,Y15-34,11,2024,46.745
6,A,IT,1,Y15-34,13,2023,148.541
7,A,IT,1,Y15-34,13,2024,131.639
8,A,IT,1,Y15-34,7,2023,243.173
9,A,IT,1,Y15-34,7,2024,214.799
10,A,IT,1,Y15-34,99,2023,446.054
11,A,IT,1,Y15-34,99,2024,393.183
12,A,IT,1,Y15-64,11,2023,86.49
13,A,IT,1,Y15-64,11,2024,76.845
14,A,IT,1,Y15-64,13,2023,476.39
15,A,IT,1,Y15-64,13,2024,401.371
16,A,IT,1,Y15-64,7,2023,416.618
17,A,IT,1,Y15-64,7,2024,373.068
18,A,IT,1,Y15-64,99,2023,979.498
19,A,IT,1,Y15-64,99,2024,851.284
20,A,IT,1,Y15-74,11,2023,87.197
21,A,IT,1,Y15-74,11,2024,77.598
22,A,IT,1,Y15-74,13,2023,482.344
23,A,IT,1,Y15-74,13,2024,406.562
24,A,IT,1,Y15-74,7,2023,418.476
25,A,IT,1,Y15-74,7,2024,374.172
26,A,IT,1,Y15-74,99,2023,988.017
27,A,IT,1,Y15-74,99,2024,858.332
28,A,IT,1,Y25-34,99,2023,251.438
29,A,IT,1,Y25-34,99,2024,221.528
30,A,IT,1,Y35-44,99,2023,194.745
31,A,IT,1,Y35-44,99,2024,170.335
32,A,IT,1,Y35-49,11,2023,22.94
33,A,IT,1,Y35-49,11,2024,20.482
34,A,IT,1,Y35-49,13,2023,167.793
35,A,IT,1,Y35-49,13,2024,132.115
36,A,IT,1,Y35-49,7,2023,105.574
37,A,IT,1,Y35-49,7,2024,98.561
38,A,IT,1,Y35-49,99,2023,296.307
39,A,IT,1,Y35-49,99,2024,251.158
40,A,IT,1,Y45-54,99,2023,200.128
41,A,IT,1,Y45-54,99,2024,171.952
42,A,IT,1,Y50-64,11,2023,9.21
43,A,IT,1,Y50-64,11,2024,9.618
44,A,IT,1,Y50-64,13,2023,160.057
45,A,IT,1,Y50-64,13,2024,137.617
46,A,IT,1,Y50-64,7,2023,67.872
47,A,IT,1,Y50-64,7,2024,59.707
48,A,IT,1,Y50-64,99,2023,237.138
49,A,IT,1,Y50-64,99,2024,206.942
50,A,IT,1,Y50-74,11,2023,9.917
51,A,IT,1,Y50-74,11,2024,10.371
52,A,IT,1,Y50-74,13,2023,166.01
53,A,IT,1,Y50-74,13,2024,142.808
54,A,IT,1,Y50-74,7,2023,69.729
55,A,IT,1,Y50-74,7,2024,60.812
56,A,IT,1,Y50-74,99,2023,245.657
57,A,IT,1,Y50-74,99,2024,213.991
58,A,IT,1,Y55-64,99,2023,138.571
59,A,IT,1,Y55-64,99,2024,115.814
60,A,IT,1,Y65-74,99,2023,8.519
61,A,IT,1,Y65-74,99,2024,7.048
62,A,IT,2,Y15-24,99,2023,152.622
63,A,IT,2,Y15-24,99,2024,121.042
64,A,IT,2,Y15-29,99,2023,276.604
65,A,IT,2,Y15-29,99,2024,232.632
66,A,IT,2,Y15-34,11,2023,80.565
67,A,IT,2,Y15-34,11,2024,71.296
68,A,IT,2,Y15-34,13,2023,87.686
69,A,IT,2,Y15-34,13,2024,72.689
