,REF_AREA,SEX,CITIZENSHIP,COUNTRY_BIRTH,TIME_PERIOD,OBS_VALUE
0,IT,1,EUPFPM,IT,2019,34
1,IT,1,EUPFPM,IT,2020,23
2,IT,1,EUPFPM,IT,2021,21
3,IT,1,EUPFPM,IT,2022,31
4,IT,1,EUPFPM,IT,2023,35
5,IT,1,EUPFPM,X1033,2019,864
6,IT,1,EUPFPM,X1033,2020,879
7,IT,1,EUPFPM,X1033,2021,1132
8,IT,1,EUPFPM,X1033,2022,1098
9,IT,1,EUPFPM,X1033,2023,1163
10,IT,1,EUPFPM,X1045,2019,1
11,IT,1,EUPFPM,X1045,2021,1
12,IT,1,EUPFPM,X1045,2022,1
13,IT,1,EUPFPM,X1046,2019,783
14,IT,1,EUPFPM,X1046,2020,817
15,IT,1,EUPFPM,X1046,2021,1046
16,IT,1,EUPFPM,X1046,2022,1002
17,IT,1,EUPFPM,X1046,2023,1061
18,IT,1,EUPFPM,X1047,2021,1
19,IT,1,EUPFPM,X1047,2022,1
20,IT,1,EUPFPM,X1048,2019,46
21,IT,1,EUPFPM,X1048,2020,39
22,IT,1,EUPFPM,X1048,2021,63
23,IT,1,EUPFPM,X1048,2022,63
24,IT,1,EUPFPM,X1048,2023,67
25,IT,1,EUPSA,IT,2019,27
26,IT,1,EUPSA,IT,2020,28
27,IT,1,EUPSA,IT,2021,42
28,IT,1,EUPSA,IT,2022,32
29,IT,1,EUPSA,IT,2023,40
30,IT,1,EUPSA,X1033,2019,415
31,IT,1,EUPSA,X1033,2020,474
32,IT,1,EUPSA,X1033,2021,448
33,IT,1,EUPSA,X1033,2022,556
34,IT,1,EUPSA,X1033,2023,502
35,IT,1,EUPSA,X1045,2019,350
36,IT,1,EUPSA,X1045,2020,396
37,IT,1,EUPSA,X1045,2021,362
38,IT,1,EUPSA,X1045,2022,470
39,IT,1,EUPSA,X1045,2023,411
40,IT,1,EUPSA,X1046,2019,8
41,IT,1,EUPSA,X1046,2020,14
42,IT,1,EUPSA,X1046,2021,6
43,IT,1,EUPSA,X1046,2022,10
44,IT,1,EUPSA,X1046,2023,5
45,IT,1,EUPSA,X1047,2019,2
46,IT,1,EUPSA,X1047,2020,6
47,IT,1,EUPSA,X1047,2021,6
48,IT,1,EUPSA,X1047,2022,10
49,IT,1,EUPSA,X1047,2023,5
50,IT,1,EUPSA,X1048,2019,28
51,IT,1,EUPSA,X1048,2020,30
52,IT,1,EUPSA,X1048,2021,32
53,IT,1,EUPSA,X1048,2022,33
54,IT,1,EUPSA,X1048,2023,40
55,IT,1,IT,IT,2019,295867
56,IT,1,IT,IT,2020,349905
57,IT,1,IT,IT,2021,330381
58,IT,1,IT,IT,2022,332399
59,IT,1,IT,IT,2023,312358
60,IT,1,IT,X1033,2019,299723
61,IT,1,IT,X1033,2020,354515
62,IT,1,IT,X1033,2021,334967
63,IT,1,IT,X1033,2022,337113
64,IT,1,IT,X1033,2023,317098
65,IT,1,IT,X1045,2019,1143
66,IT,1,IT,X1045,2020,1364
67,IT,1,IT,X1045,2021,1200
68,IT,1,IT,X1045,2022,1278
69,IT,1,IT,X1045,2023,1251
70,IT,1,IT,X1046,2019,182
71,IT,1,IT,X1046,2020,174
72,IT,1,IT,X1046,2021,196
73,IT,1,IT,X1046,2022,169
74,IT,1,IT,X1046,2023,193
75,IT,1,IT,X1047,2019,431
76,IT,1,IT,X1047,2020,443
77,IT,1,IT,X1047,2021,509
