REF_AREA,MARRIAGE_RITE,TIME_PERIOD,OBS_VALUE,NOTE_REF_AREA
IT,ALL,2014,100.0,GENERAL
IT,ALL,2015,100.0,GENERAL
IT,ALL,2016,100.0,GENERAL
IT,ALL,2017,100.0,GENERAL
IT,ALL,2018,100.0,GENERAL
IT,ALL,2019,100.0,GENERAL
IT,ALL,2020,100.0,GENERAL
IT,ALL,2021,100.0,GENERAL
IT,ALL,2022,100.0,GENERAL
IT,ALL,2023,100.0,GENERAL
IT,CIVIL,2014,43.1,GENERAL
IT,CIVIL,2015,45.3,GENERAL
IT,CIVIL,2016,46.9,GENERAL
IT,CIVIL,2017,49.5,GENERAL
IT,CIVIL,2018,50.1,GENERAL
IT,CIVIL,2019,52.6,GENERAL
IT,CIVIL,2020,71.1,GENERAL
IT,CIVIL,2021,54.1,GENERAL
IT,CIVIL,2022,56.4,GENERAL
IT,CIVIL,2023,58.9,GENERAL
IT,REL,2014,56.9,GENERAL
IT,REL,2015,54.7,GENERAL
IT,REL,2016,53.1,GENERAL
IT,REL,2017,50.5,GENERAL
IT,REL,2018,49.9,GENERAL
IT,REL,2019,47.4,GENERAL
IT,REL,2020,28.9,GENERAL
IT,REL,2021,45.9,GENERAL
IT,REL,2022,43.6,GENERAL
IT,REL,2023,41.1,GENERAL
IT108,ALL,2014,100.0,FILTER__ITC4
IT108,ALL,2015,100.0,FILTER__ITC4
IT108,ALL,2016,100.0,FILTER__ITC4
IT108,ALL,2017,100.0,FILTER__ITC4
IT108,ALL,2018,100.0,FILTER__ITC4
IT108,ALL,2019,100.0,FILTER__ITC4
IT108,ALL,2020,100.0,FILTER__ITC4
IT108,ALL,2021,100.0,FILTER__ITC4
IT108,ALL,2022,100.0,FILTER__ITC4
IT108,ALL,2023,100.0,FILTER__ITC4
IT108,CIVIL,2014,48.0,FILTER__ITC4
IT108,CIVIL,2015,53.4,FILTER__ITC4
IT108,CIVIL,2016,53.6,FILTER__ITC4
IT108,CIVIL,2017,59.2,FILTER__ITC4
IT108,CIVIL,2018,63.2,FILTER__ITC4
IT108,CIVIL,2019,65.2,FILTER__ITC4
IT108,CIVIL,2020,76.2,FILTER__ITC4
IT108,CIVIL,2021,67.2,FILTER__ITC4
IT108,CIVIL,2022,67.7,FILTER__ITC4
IT108,CIVIL,2023,70.9,FILTER__ITC4
IT108,REL,2014,52.0,FILTER__ITC4
IT108,REL,2015,46.6,FILTER__ITC4
IT108,REL,2016,46.4,FILTER__ITC4
IT108,REL,2017,40.8,FILTER__ITC4
IT108,REL,2018,36.8,FILTER__ITC4
IT108,REL,2019,34.8,FILTER__ITC4
IT108,REL,2020,23.8,FILTER__ITC4
IT108,REL,2021,32.8,FILTER__ITC4
IT108,REL,2022,32.3,FILTER__ITC4
IT108,REL,2023,29.1,FILTER__ITC4
IT109,ALL,2014,100.0,FILTER__ITE3
IT109,ALL,2015,100.0,FILTER__ITE3
IT109,ALL,2016,100.0,FILTER__ITE3
IT109,ALL,2017,100.0,FILTER__ITE3
IT109,ALL,2018,100.0,FILTER__ITE3
IT109,ALL,2019,100.0,FILTER__ITE3
IT109,ALL,2020,100.0,FILTER__ITE3
IT109,ALL,2021,100.0,FILTER__ITE3
IT109,ALL,2022,100.0,FILTER__ITE3
IT109,ALL,2023,100.0,FILTER__ITE3
IT109,CIVIL,2014,34.3,FILTER__ITE3
IT109,CIVIL,2015,32.6,FILTER__ITE3
IT109,CIVIL,2016,37.3,FILTER__ITE3
IT109,CIVIL,2017,46.1,FILTER__ITE3
IT109,CIVIL,2018,44.9,FILTER__ITE3
IT109,CIVIL,2019,46.9,FILTER__ITE3
IT109,CIVIL,2020,68.5,FILTER__ITE3
IT109,CIVIL,2021,49.0,FILTER__ITE3
IT109,CIVIL,2022,52.2,FILTER__ITE3
IT109,CIVIL,2023,50.8,FILTER__ITE3
IT109,REL,2014,65.7,FILTER__ITE3
IT109,REL,2015,67.4,FILTER__ITE3
IT109,REL,2016,62.7,FILTER__ITE3
IT109,REL,2017,53.9,FILTER__ITE3
IT109,REL,2018,55.1,FILTER__ITE3
IT109,REL,2019,53.1,FILTER__ITE3
IT109,REL,2020,31.5,FILTER__ITE3
IT109,REL,2021,51.0,FILTER__ITE3
IT109,REL,2022,47.8,FILTER__ITE3
IT109,REL,2023,49.2,FILTER__ITE3
IT110,ALL,2014,100.0,FILTER__ITF4
IT110,ALL,2015,100.0,FILTER__ITF4
IT110,ALL,2016,100.0,FILTER__ITF4
IT110,ALL,2017,100.0,FILTER__ITF4
IT110,ALL,2018,100.0,FILTER__ITF4
IT110,ALL,2019,100.0,FILTER__ITF4
IT110,ALL,2020,100.0,FILTER__ITF4
IT110,ALL,2021,100.0,FILTER__ITF4
IT110,ALL,2022,100.0,FILTER__ITF4
IT110,ALL,2023,100.0,FILTER__ITF4
IT110,CIVIL,2014,20.7,FILTER__ITF4
IT110,CIVIL,2015,25.7,FILTER__ITF4
IT110,CIVIL,2016,25.0,FILTER__ITF4
IT110,CIVIL,2017,24.4,FILTER__ITF4
IT110,CIVIL,2018,24.1,FILTER__ITF4
IT110,CIVIL,2019,26.5,FILTER__ITF4
IT110,CIVIL,2020,58.2,FILTER__ITF4
IT110,CIVIL,2021,29.0,FILTER__ITF4
IT110,CIVIL,2022,30.0,FILTER__ITF4
IT110,CIVIL,2023,30.1,FILTER__ITF4
IT110,REL,2014,79.3,FILTER__ITF4
IT110,REL,2015,74.3,FILTER__ITF4
IT110,REL,2016,75.0,FILTER__ITF4
IT110,REL,2017,75.6,FILTER__ITF4
IT110,REL,2018,75.9,FILTER__ITF4
IT110,REL,2019,73.5,FILTER__ITF4
IT110,REL,2020,41.8,FILTER__ITF4
IT110,REL,2021,71.0,FILTER__ITF4
IT110,REL,2022,70.0,FILTER__ITF4
IT110,REL,2023,69.9,FILTER__ITF4
IT111,ALL,2017,100.0,FILTER__ITG2
IT111,ALL,2018,100.0,FILTER__ITG2
IT111,ALL,2019,100.0,FILTER__ITG2
IT111,ALL,2020,100.0,FILTER__ITG2
IT111,ALL,2021,100.0,FILTER__ITG2
IT111,ALL,2022,100.0,FILTER__ITG2
IT111,ALL,2023,100.0,FILTER__ITG2
IT111,CIVIL,2017,51.4,FILTER__ITG2
IT111,CIVIL,2018,54.2,FILTER__ITG2
